paper_id,title,abstract,authors,year,document_type,venue,persistent_id,category_codes,african_relevance,source_url,download_urls,license_status,citation_count,citation_percentile,relevance_score,source_quality,is_retracted,metrics_date
MUFASA-000031,Eco-friendly Algal-Based Zinc Oxide Nanoparticles for Corrosion Protection of Steel in Acidic Media,,Omotola Michael Fayomi; Sonter Camillus Iorumbur; James Asamu Akande; Idirisu Jibril Limangba; Moses Saviour Iorungwa,2025,conference_paper,10th Annual Symposium of the American Chemical Society (ACS) Nigeria International Chemical Sciences Chapter,doi:10.55455/acsnigeria.1.2.114-126,MAT-RES-003,NG; locally_developed_method; african_industrial_problem,https://acsnigeria.org/publications/proceedings/10th-annual-symposium-of-the-american-chemical-society-acs-nigeria-international-chemical-sciences-chapter/,https://acsnigeria.org/wp-content/uploads/2025/11/Complete-Book-of-Proceeding_10th_ACSNigeria-Symposium-1.pdf,all-rights-reserved | not_allowed,,,,conference,FALSE,7/12/2026
MUFASA-000032,Study of Sand / Palm Kernel Shell Particles for Block Production Using Cement and Hardener as Binder,,Amoke Austine; Simon Iyke,2018,conference_paper,Nigerian International Materials Congress (NIMACON),,MAT-BLD-001; MAT-RES-001,NG; african_material; local_resource,https://www.researchgate.net/publication/329584954_DOC-20181114-WA0002,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000033,Opinion on the Computer-Aided Material Screening for the Design of Adsorbent for Pollutant Capture,,Ademola Oyegoke; Toyese Oyegoke; Baba Jibril,2022,conference_paper,Nigerian International Materials Congress (NIMACON),,MAT-RES-002; MAT-MAN-001,NG; african_industrial_problem; locally_developed_method,https://www.researchgate.net/publication/365608150_Opinion_on_the_Computer-Aided_Material_Screening_for_the_Design_of_Adsorbent_for_Pollutant_Capture,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000034,Slag Cement Production in Nigeria,,Olawale Olarewaju Ajibola; Daniel T. Oloruntoba,2002,conference_paper,Nigerian International Materials Congress (NIMACON),doi:10.13140/RG.2.1.3012.4007,MAT-BLD-001; MAT-RES-002; MAT-MIN-002,NG; african_material; african_industrial_problem; local_resource,https://www.researchgate.net/publication/275637391_Slag_Cement_Production_in_Nigeria,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000035,Foundation settlement and bearing capacity in north east Nigeria,,A. O. Eberemu; A. B. Salahudeen; T. S. Ijimdiya; K. J. Osinubi,2016,conference_paper,Nigerian International Materials Congress (NIMACON),,MAT-BLD-002; MAT-BLD-003,NG; african_environment; african_experimental_conditions,https://www.mygeoworld.com/file/139778/thomas-ijimdiya-cv/download,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000036,Foundation settlement and bearing capacity in south west Nigeria,,T. S. Ijimdiya; A. B. Salahudeen; A. O. Eberemu; K. J. Osinubi,2016,conference_paper,Nigerian International Materials Congress (NIMACON),,MAT-BLD-002; MAT-BLD-003,NG; african_environment; african_experimental_conditions,https://www.mygeoworld.com/file/139778/thomas-ijimdiya-cv/download,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000037,Tin Ore Tailing as Fine Aggregate for Rigid Pavement Construction,,Manasseh Joel; Luka Chung Rondong,2016,conference_paper,NBRRI International Conference,,MAT-INF-001; MAT-MIN-002; MAT-RES-002,NG; african_material; local_resource,https://nbrri.gov.ng/new/conferences/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000038,Lateritic Soil Stabilised with Cement-Corn Cob Ash Pozzolan as New Material for Carbon Credit Earning in Pavement Works,,O. A. Apampa; Y. A. Jimoh,2016,conference_paper,NBRRI International Conference,,MAT-BLD-002; MAT-INF-001; MAT-RES-001,NG; african_material; local_resource,https://nbrri.gov.ng/new/conferences/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000039,Partial Replacement of Cement with Soya Bean Husk Ash in Rigid pavement Concrete Production,,Manasseh Joel; Janet Johnson; John Dajo Tsafa,2016,conference_paper,NBRRI International Conference,,MAT-INF-001; MAT-RES-001; MAT-BLD-001,NG; african_material; local_resource,https://nbrri.gov.ng/new/conferences/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000040,Development of Pilot Plant for Pozzolana Cement Production in Nigeria,,D. S. Matawal; R. B. Lawal; G. N. Omange; M. T. Gidado; E. A. Ogwu,2016,conference_paper,NBRRI International Conference,,MAT-BLD-001; MAT-MAN-001; MAT-MIN-001,NG; african_material; african_industrial_problem; locally_developed_method,https://nbrri.gov.ng/new/conferences/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000041,Assessment of Owode-Ketu Clay Deposit for Production of Pozzolana for Concrete Works in Nigeria,,C. C. Osadebe; N. A. Sulymon; R. Lawal; A. Oguro; H. Quadri; S. Emannuel; O. Nwannenna,2016,conference_paper,NBRRI International Conference,,MAT-BLD-001; MAT-MIN-001; MAT-MIN-003,NG; african_material; local_resource,https://nbrri.gov.ng/new/conferences/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000042,"STRATEGIES FOR THE DEVELOPMENT OF RESILIENT, ENVIRONMENTALLY FRIENDLY AND ECONOMICAL CIVIL INFRASTRUCTURE",,Oluwadare Joshua Oyebode,2019,conference_paper,Nigerian Society of Engineers Conference,,MAT-BLD-003; MAT-INF-001,NG; african_industrial_problem,https://www.researchgate.net/publication/337784746_STRATEGIES_FOR_THE_DEVELOPMENT_OF_RESILIENT_ENVIRONMENTALLY_FRIENDLY_AND_ECONOMICAL_CIVIL_INFRASTRUCTURE,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000043,REVIVING COMMUNITY HOUSING SCHEMES: A PROD FOR GOVERNMENT HOUSING CORPORATIONS,,Abideen Adekunle Ganiyu; Muyideen Oladimeji Abdulkareem; Wasiu Ajagbe,2020,conference_paper,Nigerian Society of Engineers Conference,,MAT-BLD-003,NG; african_industrial_problem,https://www.researchgate.net/publication/346485764_REVIVING_COMMUNITY_HOUSING_SCHEMES_A_PROD_FOR_GOVERNMENT_HOUSING_CORPORATIONS,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000044,Transforming the Manufacturing Sector to Drive Economic Expansion and Prosperity,,Adekunle Ibrahim Musa; Ayomide Musa; Queeneth Adesuwa Kingsley-Omoyibo,2023,conference_paper,Nigerian Society of Engineers Conference,,MAT-MAN-001,NG; african_industrial_problem,https://www.researchgate.net/publication/377956265_Transforming_the_Manufacturing_Sector_to_Drive_Economic_Expansion_and_Prosperity,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000045,Optimized Aggregates Gradations for Concrete Mix Designs for Resilient Building Construction,,,2019,conference_paper,Nigerian Society of Engineers Conference,,MAT-BLD-001,NG; african_material; african_experimental_conditions,https://eprints.federalpolyilaro.edu.ng/1791/1/Kano%2019%20paper%20Optimized%20Aggregates%20Gradations%20for%20Concrete%20Mix%20Designs%20for%20Resilient%20Building%20Construction-converted.pdf,https://eprints.federalpolyilaro.edu.ng/1791/1/Kano%2019%20paper%20Optimized%20Aggregates%20Gradations%20for%20Concrete%20Mix%20Designs%20for%20Resilient%20Building%20Construction-converted.pdf,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000046,Rice husk ash as partial replacement in concrete,,D. C. Okpala,1987,conference_paper,Nigerian Society of Engineers Conference,,MAT-RES-001; MAT-BLD-001,NG; african_material; local_resource,,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000047,Geotechnical behaviour of lateritic soil–oyster shell ash mixtures,,R. K. Etim; I. C. Attah; N. M. Ogarekpe; E. E. Robert,2018,conference_paper,Nigerian Institution of Civil Engineers Conference,,MAT-BLD-002; MAT-RES-001,NG; african_material; local_resource,,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000048,Geotechnical properties of lateritic soil treated with periwinkle shell ash,,R. K. Etim; I. C. Attah; P. Yohanna; S. J. Eshiet,2018,conference_paper,Nigerian Institution of Civil Engineers Conference,,MAT-BLD-002; MAT-RES-001,NG; african_material; local_resource,,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000049,Investigation into causes of premature failure of highway pavements in Nigeria and remedies,,O. S. Abiola; A. O. Owolabi; S. O. Odunfa; A. Olusola,,conference_paper,Nigerian Institution of Civil Engineers Conference,,MAT-INF-001,NG; african_industrial_problem; african_experimental_conditions,,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000050,Developing a Framework for Alleviating Traffic Congestion to Enhance Mobility in Port Harcourt Metropolis,,E. A. Igwe,2020,conference_paper,Nigerian Institution of Civil Engineers Conference,,MAT-INF-001,NG; african_environment; african_industrial_problem,https://www.rsu.edu.ng/civil-engineering/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000051,Durability Assessment of Moisture Damage on Flexible Pavements in the Niger Delta,,E. A. Igwe,2019,conference_paper,Nigerian Institution of Highway and Transportation Engineers Conference or Technical Publication,,MAT-INF-001,NG; african_environment; african_experimental_conditions,https://www.rsu.edu.ng/civil-engineering/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000052,Addressing The Stormwater Aspects of Road Failures in Benin City,,Prince Nowamagbe Ogbeifun,2024,conference_paper,Nigerian Institution of Highway and Transportation Engineers Conference or Technical Publication,,MAT-INF-001,NG; african_environment; african_industrial_problem,https://www.researchgate.net/publication/382871519_Addressing_The_Stormwater_Aspects_of_Road_Failures_in_Benin_City,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000053,Sustainability of Road Infrastructure in Anambra State; impacts from soil erosion,,Okechukwu Pius Aghamelu,2018,conference_paper,Nigerian Institution of Highway and Transportation Engineers Conference or Technical Publication,,MAT-INF-001,NG; african_environment; african_experimental_conditions,https://www.researchgate.net/publication/341323022_Sustainability_of_Road_Infrastructure_in_Anambra_State_impacts_from_soil_erosion,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000054,Rural Roads Infrastructure paper NIHTE 2024,,,2024,conference_paper,Nigerian Institution of Highway and Transportation Engineers Conference or Technical Publication,,MAT-INF-001,NG; african_industrial_problem,https://nihte.org/rural-roads-infrastructure-paper-nihte-2024/,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000055,Highway Development in Nigeria-Prospects and Challenges,,E. O. Mezie,2022,conference_paper,Nigerian Institution of Highway and Transportation Engineers Conference or Technical Publication,,MAT-INF-001,NG; african_industrial_problem,https://profile.unizik.edu.ng/nau4787,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000056,The First 3D Printed Building in Nigeria,,Femi Yusuff,2021,conference_paper,Nigerian Institution of Structural Engineers Conference,,MAT-MAN-002; MAT-BLD-001,NG; locally_developed_method; african_industrial_problem,https://www.researchgate.net/publication/357458803_The_First_3D_Printed_Building_in_Nigeria_THE_FIRST_3D_PRINTED_BUILDING_IN_NIGERIA_Delivered_at_the_2021_International_Annual_General_Meeting,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000057,STRATEGIES FOR EFFECTIVE DELIVERY OF STRUCTURAL ENGINEERING PROJECTS IN NIGERIA THROUGH MANPOWER DEVELOPMENT AND ADEQUATE REMUNERATION,,Oluwadare Joshua Oyebode,2019,conference_paper,Nigerian Institution of Structural Engineers Conference,,MAT-BLD-003,NG; african_industrial_problem,https://www.researchgate.net/publication/336881701_STRATEGIES_FOR_EFFECTIVE_DELIVERY_OF_STRUCTURAL_ENGINEERING_PROJECTS_IN_NIGERIA_THROUGH_MANPOWER_DEVELOPMENT_AND_ADEQUATE_REMUNERATION,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000058,Probabilistic Risk Analysis and Checks of Incessant Collapse of Structures in Nigeria,,C. A. Ezeagu,2007,conference_paper,Nigerian Institution of Structural Engineers Conference,,MAT-BLD-003,NG; african_industrial_problem; african_experimental_conditions,,,unknown | review_required,,,,conference,FALSE,7/12/2026
MUFASA-000059,"Building Collapse and Cement Grade, any Linkage?",,U. Nwankwo,2014,conference_paper,Nigerian Institution of Structural Engineers Conference,,MAT-BLD-001,NG; african_material; african_industrial_problem,,,unknown | review_required,,,,conference,FALSE,7/12/2026
